Ego,Alter,visit1,visithh1
105,211,1,2
109,46,1,2
11,349,1,2
12,42,1,2
124,44,1,2
124,45,1,2
127,126,1,2
129,129,1,2
129,175,1,2
147,136,1,2
15,84,1,2
15,85,1,2
166,165,1,2
166,217,1,2
18,77,1,2
182,351,1,2
183,53,1,2
184,313,1,2
186,363,1,2
186,84,1,2
193,358,1,2
194,22,1,2
196,41,1,2
199,200,1,2
205,61,1,2
208,211,1,2
215,140,1,2
215,53,1,2
220,210,1,2
221,334,1,2
23,189,1,2
239,120,1,2
243,244,1,2
243,245,1,2
243,59,1,2
247,360,1,2
256,311,1,2
256,357,1,2
26,101,1,2
263,79,1,2
269,218,1,2
270,273,1,2
277,169,1,2
278,348,1,2
28,127,1,2
28,361,1,2
286,215,1,2
292,249,1,2
292,288,1,2
3,93,1,2
30,219,1,2
300,138,1,2
301,283,1,2
304,320,1,2
305,79,1,2
306,312,1,2
306,313,1,2
307,11,1,2
307,308,1,2
308,313,1,2
314,135,1,2
314,317,1,2
314,320,1,2
327,341,1,2
328,80,1,2
335,336,1,2
337,166,1,2
342,217,1,2
344,350,1,2
35,288,1,2
358,359,1,2
360,309,1,2
39,5,1,2
43,106,1,2
43,352,1,2
46,43,1,2
53,164,1,2
53,267,1,2
69,276,1,2
7,142,1,2
7,292,1,2
77,14,1,2
77,200,1,2
94,359,1,2
94,93,1,2
10,207,1,2
115,296,1,2
127,128,1,2
140,205,1,2
142,140,1,2
142,141,1,2
142,144,1,2
144,53,1,2
153,299,1,2
155,52,1,2
159,62,1,2
166,164,1,2
175,129,1,2
175,130,1,2
177,64,1,2
179,5,1,2
187,205,1,2
191,331,1,2
200,15,1,2
208,205,1,2
212,214,1,2
228,178,1,2
229,331,1,2
235,64,1,2
257,258,1,2
263,338,1,2
265,259,1,2
268,151,1,2
27,325,1,2
270,274,1,2
273,115,1,2
274,288,1,2
274,291,1,2
275,216,1,2
279,16,1,2
279,72,1,2
280,318,1,2
284,122,1,2
285,22,1,2
29,52,1,2
298,124,1,2
303,114,1,2
303,282,1,2
305,338,1,2
318,329,1,2
319,317,1,2
32,219,1,2
329,318,1,2
330,209,1,2
330,210,1,2
332,361,1,2
335,164,1,2
344,349,1,2
352,106,1,2
357,14,1,2
359,260,1,2
359,94,1,2
363,186,1,2
46,42,1,2
53,183,1,2
54,55,1,2
58,291,1,2
59,335,1,2
62,260,1,2
62,362,1,2
80,237,1,2
81,295,1,2
90,151,1,2
90,175,1,2
95,183,1,2
102,179,1,2
106,341,1,2
108,152,1,2
109,328,1,2
110,14,1,2
110,341,1,2
112,10,1,2
115,273,1,2
117,86,1,2
121,123,1,2
121,124,1,2
126,290,1,2
126,74,1,2
132,308,1,2
135,136,1,2
140,351,1,2
141,132,1,2
141,138,1,2
156,299,1,2
162,165,1,2
164,163,1,2
178,219,1,2
179,49,1,2
181,132,1,2
181,138,1,2
197,220,1,2
198,16,1,2
198,72,1,2
207,253,1,2
209,120,1,2
209,205,1,2
209,208,1,2
21,68,1,2
210,220,1,2
212,140,1,2
216,93,1,2
216,94,1,2
222,223,1,2
231,361,1,2
232,230,1,2
235,309,1,2
241,224,1,2
241,317,1,2
242,334,1,2
246,267,1,2
247,248,1,2
250,116,1,2
250,260,1,2
258,136,1,2
258,147,1,2
258,181,1,2
260,179,1,2
260,278,1,2
264,22,1,2
265,80,1,2
272,92,1,2
272,93,1,2
274,143,1,2
274,210,1,2
279,278,1,2
283,149,1,2
289,273,1,2
296,115,1,2
296,273,1,2
298,300,1,2
299,245,1,2
30,178,1,2
317,321,1,2
320,178,1,2
321,136,1,2
322,200,1,2
325,27,1,2
326,30,1,2
331,235,1,2
333,89,1,2
334,205,1,2
335,145,1,2
338,263,1,2
338,79,1,2
339,164,1,2
347,348,1,2
347,62,1,2
348,116,1,2
348,260,1,2
348,347,1,2
350,121,1,2
351,84,1,2
354,106,1,2
355,359,1,2
357,114,1,2
358,355,1,2
361,265,1,2
362,347,1,2
362,348,1,2
365,180,1,2
365,271,1,2
37,133,1,2
37,308,1,2
37,48,1,2
4,223,1,2
4,296,1,2
40,163,1,2
44,42,1,2
44,46,1,2
46,44,1,2
49,5,1,2
50,364,1,2
50,78,1,2
51,151,1,2
59,245,1,2
6,22,1,2
62,92,1,2
64,71,1,2
65,309,1,2
65,46,1,2
67,79,1,2
70,309,1,2
87,263,1,2
92,91,1,2
95,313,1,2
97,140,1,2
98,248,1,2
99,146,1,2
112,296,1,2
113,112,1,2
119,110,1,2
119,348,1,2
152,108,1,2
155,166,1,2
160,309,1,2
162,100,1,2
186,113,1,2
228,227,1,2
240,365,1,2
258,10,1,2
265,28,1,2
273,296,1,2
29,124,1,2
296,4,1,2
298,79,1,2
3,164,1,2
30,163,1,2
313,308,1,2
313,312,1,2
315,224,1,2
327,309,1,2
33,66,1,2
331,254,1,2
337,165,1,2
337,303,1,2
339,274,1,2
341,65,1,2
348,62,1,2
361,247,1,2
49,179,1,2
59,145,1,2
69,309,1,2
80,163,1,2
81,163,1,2
103,5,1,2
119,53,1,2
137,191,1,2
160,50,1,2
231,78,1,2
231,80,1,2
285,112,1,2
296,113,1,2
296,74,1,2
315,49,1,2
316,40,1,2
333,334,1,2
333,335,1,2
333,336,1,2
42,144,1,2
42,24,1,2
57,22,1,2
79,137,1,2
79,230,1,2
81,27,1,2
89,267,1,2
154,157,1,2
28,267,1,2
332,331,1,2
61,364,1,2
74,126,1,2
74,288,1,2
74,58,1,2
1,239,1,2
1,345,1,2
10,253,1,2
10,258,1,2
100,146,1,2
100,294,1,2
101,253,1,2
101,254,1,2
102,49,1,2
104,308,1,2
104,37,1,2
106,352,1,2
106,43,1,2
107,150,1,2
108,188,1,2
109,65,1,2
113,253,1,2
113,296,1,2
114,14,1,2
116,260,1,2
116,278,1,2
117,285,1,2
120,211,1,2
122,121,1,2
123,52,1,2
125,193,1,2
125,286,1,2
127,91,1,2
127,93,1,2
128,122,1,2
128,209,1,2
128,311,1,2
13,245,1,2
130,129,1,2
131,94,1,2
132,138,1,2
133,308,1,2
133,313,1,2
134,136,1,2
134,14,1,2
134,282,1,2
134,303,1,2
136,282,1,2
136,308,1,2
138,132,1,2
138,308,1,2
141,69,1,2
143,110,1,2
143,116,1,2
144,65,1,2
145,335,1,2
145,53,1,2
145,59,1,2
146,100,1,2
146,165,1,2
148,110,1,2
148,143,1,2
149,151,1,2
15,14,1,2
151,51,1,2
157,154,1,2
157,41,1,2
16,14,1,2
16,252,1,2
